117.8065,38.2746
117.8336,38.2611
117.8605,38.2662
117.8746,38.2497
117.8896,38.2522
117.9254,38.2399
117.9805,38.2055
118.0372,38.1856
118.0747,38.1844
118.0736,38.1594
118.089,38.1833
118.1176,38.1896
118.1651,38.1771
118.1672,38.1385
118.2218,38.1349
118.2338,38.1255
118.2664,38.1308
118.3019,38.1208
118.3267,38.1212
118.337,38.1064
118.4161,38.106
118.4217,38.1019
118.4874,38.0963
118.5123,38.0839
118.5278,38.0617
118.5542,38.057
118.5642,38.0441
118.5776,38.0661
118.615,38.087
118.6473,38.086
118.644,38.103
118.671,38.1021
118.6806,38.1098
118.6925,38.1421
118.7129,38.1313
118.722,38.1062
118.7529,38.0888
118.7688,38.1147
118.7673,38.1316
118.8017,38.1465
118.8472,38.1441
118.8462,38.1213
118.8727,38.1236
118.8865,38.133
118.9485,38.0987
118.9648,38.0564
118.9814,38.029
118.9686,38.0074
118.9917,37.9775
119.0026,37.9506
119.0308,37.9502
119.089,37.9126
119.0967,37.8522
119.0712,37.8361
119.0696,37.8165
119.098,37.8062
119.091,37.7859
119.1125,37.7799
119.1553,37.7877
119.1717,37.7711
119.1954,37.7976
119.2069,37.7984
119.2284,37.7793
119.2577,37.7981
119.2837,37.7949
119.277,37.7728
119.2405,37.7514
119.2007,37.7627
119.1784,37.7486
119.2456,37.7053
119.2383,37.6826
119.1709,37.7225
119.1573,37.7152
119.114,37.7185
119.0915,37.7088
119.0571,37.7276
119.0281,37.7247
119.0351,37.6845
119.0099,37.656
118.9639,37.6182
118.9504,37.5929
118.9313,37.535
118.9042,37.5273
118.922,37.4884
118.9275,37.4782
118.9128,37.4195
118.9359,37.3756
118.9427,37.3442
118.9606,37.3133
118.9882,37.3157
118.9881,37.2846
118.9987,37.2679
119.0289,37.2678
119.0445,37.2417
119.0781,37.2275
119.0945,37.2491
119.0969,37.2483
119.0791,37.2268
119.1008,37.2089
119.1218,37.2374
119.1044,37.2458
119.1231,37.2396
119.114,37.2165
119.1399,37.1763
119.1482,37.2271
119.1835,37.2211
119.1811,37.1904
119.2045,37.1938
119.2008,37.2143
119.2217,37.2184
119.2375,37.205
119.2731,37.2064
119.2859,37.1999
119.2711,37.1219
119.2477,37.0895
119.276,37.0999
119.2924,37.1153
119.3318,37.0877
119.3822,37.1199
119.4663,37.1143
119.4662,37.0956
119.4892,37.0968
119.4993,37.1233
119.5292,37.1241
119.5511,37.1175
119.5509,37.0578
119.5566,37.0956
119.5721,37.1014
119.5775,37.1192
119.6237,37.138
119.6238,37.151
119.6768,37.155
119.6738,37.1158
119.7039,37.1183
119.7031,37.1374
119.7208,37.1388
119.7285,37.12
119.7495,37.1223
119.7506,37.1417
119.7757,37.1589
119.7852,37.1766
119.8234,37.192
119.8616,37.2252
119.8737,37.228
119.8953,37.2595
119.8901,37.2934
119.8769,37.3237
119.8518,37.3258
119.8341,37.3442
119.8623,37.3773
119.9076,37.3802
119.9405,37.3911
119.9516,37.4201
119.9749,37.4145
120.0026,37.4207
120.0267,37.435
120.0685,37.4392
120.1009,37.4595
120.1447,37.4742
120.1631,37.4829
120.2173,37.5245
120.2453,37.553
120.274,37.5675
120.3125,37.606
120.3089,37.6193
120.324,37.644
120.2884,37.6449
120.2864,37.6622
120.2505,37.6722
120.2415,37.6588
120.2169,37.6821
120.2352,37.6889
120.3059,37.6867
120.3588,37.6928
120.4064,37.715
120.4475,37.7474
120.4938,37.7468
120.5799,37.7578
120.6037,37.7679
120.6197,37.785
120.6411,37.7779
120.6725,37.791
120.7177,37.8216
120.7395,37.8274
120.7825,37.8238
120.8053,37.8141
120.8314,37.8122
120.8576,37.829
120.877,37.8321
120.8985,37.8186
120.9298,37.821
120.9345,37.7758
120.9718,37.7554
120.9971,37.7523
121.0071,37.7229
121.0242,37.7126
121.0603,37.7059
121.0801,37.7103
121.1375,37.7121
121.1374,37.6819
121.1228,37.6684
121.1543,37.6438
121.1379,37.6314
121.1439,37.5986
121.1783,37.5831
121.2504,37.5732
121.3,37.5769
121.3351,37.5831
121.3667,37.6081
121.3771,37.5964
121.3726,37.5563
121.4364,37.5242
121.4484,37.4881
121.4699,37.4691
121.5084,37.4524
121.5717,37.4387
121.5956,37.4452
121.5991,37.4632
121.6369,37.4865
121.647,37.4666
121.6923,37.4564
121.7475,37.4532
121.8533,37.4614
121.9202,37.4686
121.96,37.4739
121.9927,37.4887
122.0266,37.5249
122.0743,37.5381
122.0728,37.5553
122.1032,37.5418
122.1344,37.5556
122.1521,37.5407
122.1584,37.5209
122.1211,37.5062
122.1569,37.4356
122.1846,37.441
